P9	P14	P41	P43	P46	P47	P74	P75	P82	P84	P102	P107	P167	P178	P179	P186	P190	P191	P196	P212	P225	P261	P265	P266	P276	P291	P294	P295	P301	P304	P143	P149	Domain	Phylum	Class	Order	Family	Genus	Species
16	0	2	1	0	10	0	8	0	2	3	0	13	0	0	1	6	1	0	0	0	0	1	4	2	0	0	1	3	2	1	1	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans
9	0	3	0	2	7	3	0	0	1	1	1	4	2	1	1	10	0	0	1	2	1	2	0	1	0	1	0	0	0	1	2	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus sp. 7A
10	14	65	5	6	7	2	23	14	1	40	40	4	2	30	6	17	13	13	2	8	17	1	4	4	18	13	9	2	7	6	56	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
5	0	16	2	2	3	0	2	3	1	4	6	1	1	1	0	10	7	1	6	7	1	4	0	4	0	20	3	26	2	0	1	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus profundus
45	14	9	7	1	2	4	15	10	2	7	2	35	1	31	6	14	16	1	4	2	36	46	12	6	11	12	109	68	8	3	44	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus sulfaticallidus
6	25	6	4	1	3	1	1	2	2	10	1	3	4	0	1	12	9	2	2	2	13	1	0	3	6	14	1	5	9	1	10	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus veneficus
10	8	32	70	6	39	3	7	62	11	23	14	2	23	26	2	26	81	46	16	12	77	1	2	2	65	39	16	5	138	48	26	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus
8	13	15	34	3	55	2	15	46	65	296	17	26	12	55	4	41	17	15	7	32	19	0	1	26	26	42	11	10	48	7	43	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus	Geoglobus acetivorans
14	33	10	3	5	10	3	22	0	6	16	9	17	7	1	1	22	8	3	4	5	5	24	3	1	24	9	2	9	6	13	5	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus	Geoglobus ahangari
27	36	27	71	19	33	3	13	307	43	21	93	10	49	80	6	6	60	22	16	22	78	14	6	9	150	48	151	48	77	25	83	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera lagunensis
15	3	24	22	6	26	1	4	148	16	7	10	4	51	411	1	11	9	8	3	12	18	2	6	5	79	23	85	16	45	27	199	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Cuniculiplasmataceae	Cuniculiplasma	Cuniculiplasma divulgatum
12	326	5	19	11	16	3	5	15	17	22	5	10	1	31	1	7	4	31	8	6	115	4	1	11	131	19	74	250	39	55	43	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum camini
4	5	2	1	2	15	1	6	1	3	5	2	11	1	20	4	5	2	0	3	3	18	6	1	2	17	4	24	67	7	1	4	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum pernix
4	34	3	5	3	19	3	5	17	3	3	4	6	13	23	2	4	1	4	4	5	13	3	6	10	7	14	18	9	24	6	7	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus amylolyticus
0	0	2	1	0	0	2	0	3	0	0	0	1	3	2	0	0	0	1	0	0	2	0	0	1	2	3	1	1	0	1	0	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus
2	2	0	0	4	1	0	1	0	2	0	0	1	2	4	0	2	0	1	1	0	9	2	0	0	3	6	0	2	0	0	19	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
5	108	2	351	5	0	0	1	129	1	7	2	3	1	184	1	4	1	8	1	8	49	1	1	95	23	9	61	31	41	14	7	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus islandicus
26	4	53	3	9	24	0	14	11	1	48	30	5	5	12	23	7	6	5	3	2	16	2	8	4	14	41	14	3	9	2	25	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus hellenicus
5	65	7	87	4	3	1	5	116	4	11	6	3	18	61	3	4	17	17	9	14	27	1	2	22	62	38	37	17	46	9	53	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus
2	0	40	0	0	52	0	81	3	3	28	715	0	0	0	40	12	1	1	0	7	1	5	1	1	1	4	3	0	7	0	1	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	Thermogladius calderae
1	7	0	1	6	2	2	7	3	3	0	2	1	3	2	0	2	1	10	2	5	0	0	2	0	2	2	13	0	2	1	27	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera	Thermosphaera aggregans
10	14	16	36	4	7	0	4	26	2	10	19	0	10	14	0	2	15	4	0	9	17	0	3	5	22	15	26	7	8	1	34	Archaea	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Aciduliprofundum	Aciduliprofundum boonei
13	7	3	3	1	4	0	2	15	0	6	4	6	6	8	1	8	8	5	5	4	10	2	2	2	1	5	4	0	5	0	38	Archaea	Euryarchaeota	Euryarchaeota	Euryarchaeota	Euryarchaeota	Aciduliprofundum	Aciduliprofundum sp. MAR08.339
0	1	2	0	1	6	2	1	3	1	7	1	1	0	0	0	1	3	5	4	1	9	1	2	0	12	2	30	8	1	3	13	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus
3	2	1	11	3	0	0	1	6	1	1	7	0	1	1	0	0	0	19	0	3	0	0	1	0	5	5	4	1	9	2	0	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidiphilum
2	2	5	9	5	5	2	1	17	4	7	2	2	8	19	0	3	4	4	3	17	22	0	2	3	7	6	12	14	7	5	15	Archaea	Crenarchaeota	Thermoprotei	Fervidicoccales	Fervidicoccaceae	Fervidicoccus	Fervidicoccus fontis
29	131	3	17	0	22	0	1	6	1	7	0	11	1	39	10	17	8	8	2	3	52	6	1	7	80	17	10	8	16	5	5	Archaea	Geothermarchaeota	Geothermarchaeota	Geothermarchaeota	Geothermarchaeota	Conexivisphaera	Conexivisphaera calidus
128	74	34	36	2	118	8	63	62	8	32	61	111	2	138	14	130	22	11	17	8	26	58	6	72	21	32	26	53	16	16	19	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halapricum	Halapricum salinum
13	3	0	0	0	10	1	0	0	0	1	6	2	0	0	1	16	0	0	0	1	0	1	0	2	0	0	0	1	1	0	4	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula hispanica
25	2	27	1	2	59	198	13	0	57	4	3	18	4	2	7	51	7	131	2	1	4	10	1	545	5	94	0	12	3	163	16	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula marismortui
17	16	7	1	3	19	0	3	0	1	0	0	20	1	5	0	7	2	0	5	0	7	6	0	1	15	7	3	2	2	1	0	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula sp. CBA1115
205	15	37	10	1	151	476	45	6	147	210	18	160	5	26	11	269	29	16	6	29	4	57	1	223	3	343	7	32	5	448	41	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula sp. JP.L23
64	5	30	4	0	66	10	29	2	5	48	65	52	3	8	19	63	12	13	0	1	5	54	0	52	3	8	1	9	5	8	21	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula taiwanensis
97	5	24	4	0	90	2	85	17	2	26	39	119	3	38	10	78	14	2	2	9	72	42	0	13	46	26	2	20	22	6	39	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium mukohataei
84	0	10	4	2	60	2	63	0	8	4	5	24	4	2	15	78	12	2	1	1	2	3	1	35	2	12	2	22	3	1	12	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium sp. LC1Hm
51	3	7	2	3	76	1	103	6	0	35	8	110	4	0	3	37	12	2	15	15	7	88	4	2	3	16	1	5	7	177	29	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus sp. CBA1104
76	14	17	12	4	82	4	38	8	6	9	9	42	4	0	11	83	11	4	6	3	4	33	2	16	18	6	5	17	14	30	10	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus tiamatea
44	13	15	14	3	83	4	14	1	7	25	25	42	10	72	56	75	21	5	0	2	44	8	2	9	45	14	44	115	38	1	42	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus utahensis
141	12	23	48	5	304	6	38	12	11	77	47	150	40	15	12	198	54	9	5	22	5	31	7	34	6	30	12	23	35	108	31	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorientalis	Halorientalis sp. IM1011
299	19	50	15	5	229	7	123	7	12	93	43	205	7	5	34	211	33	7	10	13	47	192	4	28	14	34	5	43	20	60	40	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halosimplex	Halosimplex pelagicum
293	136	37	7	2	252	68	160	4	28	96	35	481	6	15	31	206	31	5	8	18	16	249	5	81	15	22	19	42	12	34	61	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halosimplex	Halosimplex rubrum
104	1	17	3	2	89	8	70	1	6	37	21	87	4	7	15	123	13	5	5	3	5	73	2	13	1	26	0	19	3	8	18	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas moolapensis
64	3	8	1	0	63	5	28	1	2	13	3	45	3	5	8	75	3	5	8	1	15	7	0	41	3	7	3	14	5	16	17	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas pharaonis
80	1	13	0	1	92	19	12	4	6	16	3	30	1	4	13	125	13	10	5	6	17	12	6	38	6	34	7	15	8	6	42	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas sp. C90
253	5	49	17	8	354	18	118	12	16	72	14	200	14	24	92	272	44	7	37	22	7	100	6	46	13	139	24	46	45	191	40	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	Natronomonas sp. YPL13
168	5	14	5	3	121	8	48	2	6	87	48	195	5	6	9	97	17	2	6	6	4	120	2	19	8	35	8	21	3	2	21	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarculaceae	Haloarculaceae archaeon HArcel1
98	5	40	0	2	111	20	20	7	15	64	7	80	3	1	12	109	17	9	2	10	8	39	3	18	0	46	2	9	4	24	24	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halalkalicoccus	Halalkalicoccus jeotgali
51	3	8	0	0	48	1	5	4	1	8	0	12	2	2	20	57	19	0	3	1	5	4	0	7	1	8	0	9	3	3	13	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	Halanaeroarchaeum sulfurireducens
221	13	22	7	3	245	25	153	4	9	64	20	174	7	11	36	219	29	35	4	18	16	59	9	85	11	51	20	39	15	68	48	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halarchaeum	Halarchaeum sp. CBA1220
221	16	35	11	1	240	469	30	1	96	29	11	219	7	7	16	239	24	59	6	3	68	69	7	427	18	319	12	38	8	329	32	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium hubeiense
106	5	21	19	3	128	9	35	12	6	35	28	31	7	15	10	107	21	3	7	3	17	7	2	20	6	30	6	18	19	5	20	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum
124	13	41	6	1	159	8	39	35	4	29	8	80	9	79	24	177	26	11	5	10	56	69	6	20	112	31	6	36	6	5	50	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium sp. DL1
1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium sp. GN101
60	26	50	51	0	54	94	9	16	20	27	5	13	4	6	1	62	13	56	5	8	4	4	0	317	4	39	5	12	8	1	20	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halodesulfurarchaeum	Halodesulfurarchaeum formicicum
155	20	25	8	1	80	6	24	12	4	40	14	94	3	12	14	91	26	7	8	12	19	102	3	20	14	20	4	26	14	14	15	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorussus	Halorussus sp. RC.68
149	8	32	2	0	70	4	68	3	3	48	45	292	4	7	15	52	18	4	5	7	7	172	2	11	4	25	3	12	2	16	23	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorussus	Halorussus sp. ZS.3
75	0	33	3	1	92	10	14	9	2	20	18	89	8	12	13	82	18	5	11	5	3	56	5	9	3	15	1	14	7	39	51	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halostella	Halostella pelagica
158	9	16	8	2	212	507	182	7	123	71	20	307	3	3	27	122	13	3	6	11	7	171	7	192	16	226	12	11	12	475	27	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Salarchaeum	Salarchaeum sp. JOR.1
169	7	20	3	6	177	16	129	1	8	50	19	186	6	7	48	162	21	4	7	4	2	122	6	26	3	38	1	24	22	336	14	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriales	Halobacteriales	haloarchaeon 3A1.DGR
3	2	0	0	0	4	0	0	0	0	1	1	15	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriales	Halobacteriales	haloarchaeon TuA4
63	11	4	6	6	74	2	41	3	3	26	3	77	2	19	4	49	6	9	0	3	4	49	1	19	11	8	13	10	3	11	12	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriales	Salinibaculum	Salinibaculum litoreum
180	78	27	8	6	176	21	102	2	14	40	33	179	12	11	25	174	22	12	3	7	7	109	0	40	13	36	5	59	5	4	23	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halobellus	Halobellus limi
49	3	23	2	5	28	7	3	1	3	6	1	24	3	0	3	156	6	2	1	2	5	16	1	6	3	6	2	4	1	1	17	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax alexandrinus
147	7	22	0	2	137	5	21	0	4	15	8	47	4	5	21	133	17	5	2	6	3	15	3	30	3	17	1	22	3	0	11	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax gibbonsii
44	33	16	2	3	34	41	41	1	14	20	20	49	8	10	6	40	17	9	2	8	15	17	1	42	21	11	2	11	7	4	18	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax mediterranei
59	3	7	4	0	35	1	25	1	2	11	6	101	0	5	8	47	8	4	1	1	2	13	1	12	0	1	1	6	4	2	1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	Haloferax volcanii
94	8	19	2	3	76	265	42	5	70	32	15	94	6	8	8	60	13	4	7	11	12	41	1	96	28	193	16	24	11	294	14	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense
94	37	31	5	11	167	8	110	4	28	53	13	185	5	7	19	131	26	8	7	13	5	87	17	25	10	23	21	33	12	151	34	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus aerogenes
204	1	24	2	2	200	157	79	4	39	45	40	164	5	9	24	174	20	8	11	7	9	108	0	73	7	41	0	38	7	158	15	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus rallus
171	4	13	0	1	148	6	58	2	6	25	51	71	3	19	11	171	26	6	9	8	19	52	1	27	8	35	0	28	6	9	37	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus rubicundus
131	4	17	5	3	149	13	32	8	5	33	18	95	4	4	24	202	21	2	6	20	3	43	1	49	0	18	2	27	17	18	33	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloprofundus	Haloprofundus sp. MHR1
37	7	48	35	1	48	5	24	51	1	42	7	15	49	15	35	14	26	31	15	5	21	8	4	25	58	166	46	18	31	7	32	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloquadratum	Haloquadratum walsbyi
229	3	11	3	5	130	13	102	10	17	92	76	467	7	7	25	105	9	12	5	7	3	410	0	44	21	14	9	17	5	17	25	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacales	Halalkaliarchaeum	Halalkaliarchaeum desulfuricum
82	2	31	3	2	80	9	65	2	6	39	85	73	15	5	6	86	7	0	2	5	1	14	3	21	3	17	1	7	16	3	16	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacales	Haloferacales	halophilic archaeon DL31
205	7	20	0	5	207	15	22	9	13	54	6	35	9	14	11	208	22	7	2	6	6	13	0	37	1	36	0	42	7	8	27	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halobonum	Halobonum sp. Gai3.2
331	383	75	34	2	221	476	64	13	109	59	24	160	6	104	38	258	27	152	25	18	185	80	3	759	283	287	8	52	20	264	39	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halobonum	Halobonum sp. NJ.3.1
274	8	39	7	8	182	13	136	16	17	148	34	296	5	18	33	222	22	7	13	16	28	274	3	40	13	118	4	35	8	20	59	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halolamina	Halolamina sp. CBA1230
99	1	40	7	0	113	116	45	3	38	30	24	92	0	17	18	105	18	0	1	1	3	3	0	52	25	127	2	26	7	14	13	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halopenitus	Halopenitus persicus
154	8	36	7	5	173	17	65	7	13	40	17	161	4	9	24	172	36	10	8	4	19	126	5	30	8	17	6	27	8	7	73	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum ezzemoulense
148	3	18	5	0	123	3	58	1	4	41	20	123	0	3	15	122	17	2	0	1	3	111	5	28	1	24	0	26	2	5	14	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum lacusprofundi
122	1	37	6	9	210	229	141	4	53	49	463	103	7	16	36	155	19	3	8	14	9	72	9	109	9	46	9	20	7	286	22	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. BOL3.1
233	7	51	7	0	242	260	108	1	113	40	29	97	4	11	21	230	24	15	4	18	11	39	5	130	8	211	1	18	7	212	28	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. CBA1229
153	0	36	10	5	126	5	40	14	3	38	17	75	10	7	15	164	26	4	8	5	15	69	3	19	8	27	2	30	19	67	40	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. PV6
223	51	24	12	8	201	7	137	3	23	73	23	339	3	38	23	164	27	2	4	13	70	220	6	34	73	47	67	142	25	13	21	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. RHB.C
1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. T3
122	1	22	4	3	138	3	39	3	4	29	12	64	4	2	22	132	20	2	4	2	2	20	0	11	2	28	0	17	4	9	21	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum trapanicum
173	7	47	8	6	230	19	56	1	9	104	52	103	2	12	25	222	32	9	4	5	4	69	4	33	2	39	11	41	5	23	29	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Salinigranum	Salinigranum rubrum
1	8	3	0	0	3	0	0	5	13	3	4	1	0	4	0	1	13	0	0	1	10	0	12	0	2	7	43	7	1	2	10	Archaea	Korarchaeota	Korarchaeota	Korarchaeota	Korarchaeota	Korarchaeum	Korarchaeum cryptofilum
55	68	205	394	68	866	43	120	88	27	109	83	21	1042	40	54	57	29	188	20	245	233	11	64	30	142	446	185	156	481	14	78	Archaea	Lokiarchaeota	Lokiarchaeota	Lokiarchaeota	Lokiarchaeota	Prometheoarchaeum	Prometheoarchaeum syntrophicum
72	98	735	62	6	89	28	30	66	24	40	22	36	99	171	2	216	211	135	76	17	109	8	8	63	71	162	96	122	66	11	123	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium congolense
23	60	147	50	7	22	9	31	42	7	30	6	28	27	31	9	55	108	48	26	9	73	5	8	16	63	48	18	33	24	5	63	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium formicicum
80	58	852	90	5	77	39	31	100	14	68	15	49	72	152	21	318	327	96	51	36	41	1	10	37	35	91	82	20	71	23	118	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium lacus
86	98	554	17	16	60	19	7	24	24	51	20	37	35	63	7	132	239	58	30	18	50	2	16	35	58	98	58	36	27	15	104	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium paludis
57	71	307	6	7	36	3	3	9	2	12	4	35	28	29	15	54	134	43	20	6	6	3	7	10	23	34	13	3	7	2	62	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. MB1
1	3	22	9	0	3	4	3	26	0	3	1	0	12	1	6	6	3	12	9	2	12	0	3	10	3	2	8	0	4	1	22	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. MZ.A1
18	21	91	126	17	132	1	174	141	7	40	1171	9	43	97	19	37	138	57	20	39	40	22	2	23	30	46	94	21	248	57	38	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium subterraneum
6823	222	77002	284	128	8645	4213	180	489	1364	3207	1220	3194	3547	3135	195	22900	62706	10290	4103	215	1063	51	75	4470	343	11341	286	108	395	225	1838	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter millerae
2988	213	27660	237	226	8527	2118	127	1245	898	2472	565	5434	1959	1204	191	21496	38997	12474	3578	584	873	46	242	2693	244	7185	330	176	272	461	2737	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter olleyae
3213	226	34338	135	93	9577	1939	143	1135	691	2608	509	1746	2128	1204	167	23759	37853	13002	3594	192	836	43	121	3618	349	9018	236	244	128	103	2946	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter ruminantium
4517	372	40808	320	144	3796	1369	48434	588	503	1300	449	3344	1502	1598	262	29869	18555	3719	1626	271	503	67	225	1699	350	3544	297	307	296	84	1066	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii
449	76	5557	134	41	694	229	45	237	73	314	107	1032	251	389	27	1877	3255	715	333	159	121	19	59	450	86	664	71	32	74	21	294	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp. AbM4
10490	353	155160	319	182	12570	4968	287	1012	1712	4724	1516	6847	6694	7576	309	28170	64179	9995	7634	325	1616	70	109	7523	575	16092	514	179	284	234	3445	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp. YE315
1333	136	13546	158	25	877	476	72	257	203	442	150	177	873	1103	163	2248	6019	949	633	64	297	8	6	409	179	2509	241	74	155	82	1411	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera sp. BMS
504	128	4536	151	19	427	273	9862	443	124	210	50	225	216	704	46	740	1719	425	294	75	116	6	42	161	122	684	264	75	145	54	324	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae
0	0	10	0	0	10	0	0	1	2	0	2	0	1	2	0	1	6	1	2	0	0	0	0	0	0	3	0	0	0	0	0	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter marburgensis
9	1	75	1	0	2	1	1	1	1	2	0	0	4	1	0	9	18	6	3	1	0	0	0	8	1	3	0	0	1	0	1	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter sp. CaT2
4	0	1	0	0	3	0	0	0	1	0	1	0	0	2	0	3	6	1	1	0	0	0	0	1	0	1	0	0	1	1	2	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter sp. KEPCO.1
4	0	21	3	1	7	0	4	7	1	5	0	0	2	3	0	15	8	7	2	1	0	0	1	7	4	12	0	0	3	1	26	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter sp. THM.2
10	6	42	2	3	8	0	2	3	22	29	3	0	9	17	5	11	48	14	6	2	2	1	0	1	14	12	20	2	14	8	7	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter thermautotrophicus
26	1	131	69	6	29	12	12	310	6	22	3	10	38	249	6	22	68	27	14	2	49	3	2	45	124	41	99	37	25	20	108	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter wolfeii
